FID,Permit_ID,Permit_Nam,Address,City,State,Zip,County,PrimaryWas,PrimaryOpe,PermitStat,PermitExpD,Status,Latitude,Longitude,counties_FID,counties_OBJECTID,counties_PERIMETER,counties_CO_ABBR,counties_ACRES,counties_Shape_Leng,counties_RO,counties_GlobalID,counties_SHAPE_Le_1,counties_SHAPE_Area
"363",3407-INDUS-1990,R J Reynolds Tobacco Co,RJR Whitaker Park,Winston-Salem,NC,"27105",Forsyth,Indus,LF,InactiveClosed,,Closed,36.137275000000002,-80.253487000000007,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"364",3408-DEMO-,Mt View Road,Mt. View Road,Winston-Salem,NC,"27104",Forsyth,CD,LF,InactiveClosed,,Closed,36.097616000000002,-80.351642999999996,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"365",3412-CDLF-1995,"Winston-Salem, City of Old Salisbury Road CDLF",3336 Old Salisbury Road,Winston-Salem,NC,"27127",Forsyth,CD,LF,Active,2014/11/20,Open,35.999234000000001,-80.277736000000004,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"366",3413TEMP-INDUS-1971,Atlantic Scrap And Processing,1426 West Mountain Street,Kernersville,NC,"27284",Forsyth,Indus,LF,InactiveClosed,,Open,36.139034000000002,-80.104709000000000,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"367",348801-DEMO-,Walter S Foster,1519 Stadium Drive,Winston-Salem,NC,"27108",Forsyth,CD,LF,InactiveClosed,,Closed,36.079095000000002,-80.218844000000004,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"368",348811-DEMO-,Tim Beeman,Rosann Drive,Winston-Salem,NC,"27107",Forsyth,CD,LF,InactiveClosed,,Closed,36.038924999999999,-80.215801999999996,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"369",348812-LCID-,William Fredrick,S. Stratford Road,Clemmons,NC,"27103",Forsyth,LCID,LF,InactiveClosed,,Closed,36.024202000000002,-80.356150999999997,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"370",348817-DEMO-,Clint Bodford,New Walkertown Road,Winston-Salem,NC,"27105",Forsyth,CD,LF,InactiveClosed,,Closed,36.132567999999999,-80.202282999999994,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"371",348919-DEMO-,J R Yarbrough,Reynolds Manor Drive,Winston-Salem,NC,"27107",Forsyth,CD,LF,InactiveClosed,,Closed,36.091040000000000,-80.200000000000003,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"372",349002-DEMO-,Timothy Phillips,7025 Baux Mountain Road,Germanton,NC,"27109",Forsyth,CD,LF,InactiveClosed,,Closed,36.213574000000001,-80.206047999999996,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"373",349004-DEMO-,Frank Edwards,5645 Loop Road,Clemmons,NC,"27012",Forsyth,CD,LF,InactiveClosed,,Closed,36.002777000000002,-80.349650999999994,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"374",349005-LCID-,H G Myers,7775-7805 Shallowford Road,Lewisville,NC,"27023",Forsyth,LCID,LF,InactiveClosed,,Closed,36.100566000000001,-80.455753000000001,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"375",349007-DEMO-1990,"Winston-Salem, City of",Old Milwaukee Lane,Winston-Salem,NC,"27107",Forsyth,CD,LF,InactiveClosed,,Closed,36.039617999999997,-80.223713000000004,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"376",349018-DEMO-,D W Redding,5900 Marty Lane,Clemmons,NC,"27012",Forsyth,CD,LF,InactiveClosed,,Closed,36.072611000000002,-80.384523999999999,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"377",34902C-DEMO-,Carl Stewart,1439 Hauser Road,Lewisville,NC,"27023",Forsyth,CD,LF,InactiveClosed,,Closed,36.087800999999999,-80.468046999999999,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"378",349102-LCID-,Diane Lawson,5650 Pineview Drive,Winston-Salem,NC,"27105",Forsyth,LCID,LF,InactiveClosed,,Closed,36.179732999999999,-80.228221000000005,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"379",349103-DEMO-,Dean Weatherman,2081 Piney Grove Road,Kernersville,NC,"27284",Forsyth,CD,LF,InactiveClosed,,Closed,36.173884000000001,-80.058581000000004,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"380",349104-DEMO-,Ed Shamel,4345 Briggs Road,Tobaccoville,NC,"27050",Forsyth,CD,LF,InactiveClosed,,Closed,36.210000999999998,-80.378800999999996,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"381",34AA-DEMO-,Dennis Hix,1312 Old Hollow Road,Winston-Salem,NC,"27105",Forsyth,CD,LF,InactiveClosed,,Closed,36.189706999999999,-80.223853000000005,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"382",34AA-LCID-,Piney Hill Acres LCID Landfill,2020 Piney Grove Road,Kernersville,NC,"27284",Forsyth,LCID,LF,Active,2015/02/01,Closed,36.211621000000001,-80.171178999999995,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"383",34A-DEMO-,R J Crutchfield,918 Hazelwood Drive,Winston-Salem,NC,"27104",Forsyth,CD,LF,InactiveClosed,,Closed,36.062779999999997,-80.337950000000006,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"384",34BB-DEMO-,Susan Cason,2081 Evans Road,Winston-Salem,NC,"27127",Forsyth,CD,LF,InactiveClosed,,Closed,36.022804000000001,-80.318701000000004,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"385",34BB-LCID-,Myers LCID Landfill,7775 Shallowford Road,Lewisville,NC,"27023",Forsyth,LCID,LF,InactiveClosed,,Closed,36.102035999999998,-80.456182999999996,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"386",34B-DEMO-,Harold Fulp Rubble Site,Old Hollow Road,Stanleyville,NC,"27105",Forsyth,CD,LF,InactiveClosed,,Closed,36.190125999999999,-80.221974000000003,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"387",34C-DEMO-,Clearence Speaks Rubble Site,4974 Beckel Road,Winston-Salem,NC,"27127",Forsyth,CD,LF,InactiveClosed,,Closed,35.997968999999998,-80.299756000000002,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"388",34D-DEMO-,Hawks Landfill Site,NC Hwy 65,Rural Hall,NC,"27045",Forsyth,CD,LF,InactiveClosed,,Closed,36.249122999999997,-80.259400999999997,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"389",34E-DEMO-,A G Shore Company Inc,Hampton Industrial,Clemmons,NC,"27012",Forsyth,CD,LF,InactiveClosed,,Closed,36.002133999999998,-80.368014000000002,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"390",34F-DEMO-,Bill Lackey Rubble Site,University Parkway,Winston-Salem,NC,"27105",Forsyth,CD,LF,InactiveClosed,,Closed,36.209617000000001,-80.280046999999996,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"391",34G1-DEMO-,Phillip A Shelton,Sportsmans Drive,Walkertown,NC,"27101",Forsyth,CD,LF,InactiveClosed,,Closed,36.129067999999997,-80.163572000000002,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"392",34G-DEMO-,R Roberts & S Dotson,527 Bluff School Road,Kernersville,NC,"27284",Forsyth,CD,LF,InactiveClosed,,Closed,36.126499000000003,-80.113956999999999,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"393",34I-DEMO-,Walter C Schultz,Ogden School Road,Kernersville,NC,"27284",Forsyth,CD,LF,InactiveClosed,,Closed,36.060718999999999,-80.078643000000000,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"394",34II-DEMO-,Alvin Oliver,1540 East Sedgfield Drive,Winston-Salem,NC,"27107",Forsyth,CD,LF,InactiveClosed,,Closed,36.082925000000003,-80.210025999999999,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"395",34J-DEMO-,B H Whitman,4691 Vienna Dozier,Dozier,NC,"27040",Forsyth,CD,LF,InactiveClosed,,Closed,36.183191999999998,-80.412217999999996,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"396",34JJ-DEMO-,Richard Idol,Idlewild Road,Kernersville,NC,"27284",Forsyth,CD,LF,InactiveClosed,,Closed,36.030000000000001,-80.079999999999998,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"397",34K-DEMO-,Gertrude S Hine,Gayland Park,Winston-Salem,NC,"27107",Forsyth,CD,LF,InactiveClosed,,Closed,36.042931000000003,-80.221836999999994,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"398",34KK-DEMO-,Charlie Brown,1549 Mt. Pleasant,Winston-Salem,NC,"27107",Forsyth,CD,LF,InactiveClosed,,Closed,36.154770999999997,-80.215371000000005,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"399",34L-DEMO-,Dunn-Foster & Spainhour,1519 Stadium Drive,Winston-Salem,NC,"27107",Forsyth,CD,LF,InactiveClosed,,Closed,36.078758000000001,-80.220388999999997,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"400",34LL-DEMO-,Richard Brown,1529 Pleasant Street,Winston-Salem,NC,"27107",Forsyth,CD,LF,InactiveClosed,,Closed,36.076936000000003,-80.208207000000002,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"401",34M-DEMO-,Bernie Smith,5711 Merry Dale Drive,Winston-Salem,NC,"27105",Forsyth,CD,LF,InactiveClosed,,Closed,36.193320000000000,-80.245829999999998,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"402",34MM-DEMO-,Streeter McCoy,1535 Pleasant Street,Winston-Salem,NC,"27107",Forsyth,CD,LF,InactiveClosed,,Closed,36.076936000000003,-80.208207000000002,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"403",34N-DEMO-,Tom Hart,3160 Dunn Street,Winston-Salem,NC,"27103",Forsyth,CD,LF,InactiveClosed,,Closed,36.027433000000002,-80.357590999999999,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"404",34NN-LCID-,Ronnie F Smith,Stafford Mill Road,Walkertown,NC,"27019",Forsyth,LCID,LF,InactiveClosed,,Closed,36.216647999999999,-80.187674000000001,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"405",34O-DEMO-,MR Nash,Pineview Drive,Kernersville,NC,"27284",Forsyth,CD,LF,InactiveClosed,,Closed,36.109999999999999,-80.060000000000002,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"406",34OO-DEMO-,Gordon Manor Development,Verita Court,Winston-Salem,NC,"27104",Forsyth,CD,LF,InactiveClosed,,Closed,36.096187000000000,-80.318875000000006,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"407",34P-DEMO-,MR Nash,Pineview Drive,Kernersville,NC,"27284",Forsyth,CD,LF,InactiveClosed,,Closed,36.109999999999999,-80.069999999999993,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"408",34PP-DEMO-,John S Wooten,530 Marty Lane,Clemmons,NC,"27012",Forsyth,CD,LF,InactiveClosed,,Closed,36.073971999999998,-80.379937999999996,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"409",34Q-DEMO-,James Harris,3435 Carver School Road,Winston-Salem,NC,"27105",Forsyth,CD,LF,InactiveClosed,,Closed,36.130974999999999,-80.206412999999998,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"410",34QQ-DEMO-,Frank C Scriven,1523 Pleasant Street,Winston-Salem,NC,"27107",Forsyth,CD,LF,InactiveClosed,,Closed,36.076936000000003,-80.208207000000002,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"411",34R-DEMO-,Danny Byrd   (Fly Ash Fill),Beckerdite Stewart Road,Winston-Salem,NC,"27107",Forsyth,CD,LF,InactiveClosed,,Closed,36.011442000000002,-80.220814000000004,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"412",34RR-DEMO-,Francis L Manuel,311 Sedge Garden Road,Kernersville,NC,"27284",Forsyth,CD,LF,InactiveClosed,,Closed,36.096193999999997,-80.140872999999999,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"413",34S-DEMO-,Herman Knott,2804 Evans Road,Winston-Salem,NC,"27127",Forsyth,CD,LF,InactiveClosed,,Closed,36.022851000000003,-80.318697000000000,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"414",34TT-DEMO-,James Hamby,Lewisville-Vienna Road,Lewisville,NC,"27023",Forsyth,CD,LF,InactiveClosed,,Closed,36.118538000000001,-80.407819000000003,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"415",34U-DEMO-,Terry Cornett,1400 Block of Stadium,Winston-Salem,NC,"27107",Forsyth,CD,LF,InactiveClosed,,Closed,36.081350999999998,-80.219296000000000,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"416",34UU-DEMO-,Douglas Battery,Starlight Drive,Winston-Salem,NC,"27107",Forsyth,CD,LF,InactiveClosed,,Closed,36.051104000000002,-80.233654999999999,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"417",34V-DEMO-,Cleveland Harris,Barbara Jane Avenue,Winston-Salem,NC,"27101",Forsyth,CD,LF,InactiveClosed,,Closed,36.104351999999999,-80.208931000000007,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"418",34VV-DEMO-,Howard M Taylor,6304 Pine Hall Road,Walnut Cove,NC,"27052",Forsyth,CD,LF,InactiveClosed,,Closed,36.226055000000002,-80.117413999999997,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"419",34W-DEMO-,Chris Shelton,End of Clementine Drive,Clemmons,NC,"27012",Forsyth,CD,LF,InactiveClosed,,Closed,36.004210999999998,-80.365204000000006,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"420",34X-DEMO-,Glenn Hart,1720 Hwy 66 South,Kernersville,NC,"27284",Forsyth,CD,LF,InactiveClosed,,Closed,36.077950000000001,-80.064380000000000,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"421",34XX-DEMO-,Robert M Russell,Gerry Drive,Kernersville,NC,"27284",Forsyth,CD,LF,InactiveClosed,,Closed,36.117507000000003,-80.135913000000002,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"422",34Y-DEMO-,Shirley Jones,U.S. Hwy 311 / Walnut Cove Road,Walkertown,NC,"27051",Forsyth,CD,LF,InactiveClosed,,Closed,36.188487000000002,-80.158231000000001,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"423",34Z-DEMO-,C T Long,4379 Shattalon Drive,Winston-Salem,NC,"27106",Forsyth,CD,LF,InactiveClosed,,Closed,36.148423000000001,-80.335145999999995,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"424",34ZZ-DEMO-,Bob Chambers,Grove Avenue,Forsyth,NC,"27105",Forsyth,CD,LF,InactiveClosed,,Closed,36.151066000000000,-80.228905999999995,"30",30.000000000000000,149433.875000000000000,FORS,263718.187500000000000,490267.613210999988951,WSRO,{F3300FF5-87CB-46EE-8DF8-D23361E17CB5},185132.268694298632909,11487557442.600000381469727
"425",3501-MSWLF-1984,Franklin County Landfill,Timberlake Road (S.R. 1109),Franklinton,NC,"27525",Franklin,MSW,LF,InactiveClosed,,Closed,36.059778999999999,-78.377217000000002,"31",31.000000000000000,172475.375000000000000,FRAN,316685.281250000000000,565862.937724999967031,RRO,{B367A919-5DC2-464B-A8D8-D9BE39618F3D},213715.517254231701372,13794802003.000000000000000
"426",35A-DEMO-,Louisburg Lodge 2256,Moose Loop Road (S.R. 1491),Louisburg,NC,"27549",Franklin,CD,LF,InactiveClosed,,Closed,36.093770999999997,-78.252318000000002,"31",31.000000000000000,172475.375000000000000,FRAN,316685.281250000000000,565862.937724999967031,RRO,{B367A919-5DC2-464B-A8D8-D9BE39618F3D},213715.517254231701372,13794802003.000000000000000
"427",35B-DEMO-,Shoffner Industries Demo,NC Hwy 98,Bunn,NC,"27508",Franklin,CD,LF,InactiveClosed,,Closed,35.941858000000003,-78.209613000000004,"31",31.000000000000000,172475.375000000000000,FRAN,316685.281250000000000,565862.937724999967031,RRO,{B367A919-5DC2-464B-A8D8-D9BE39618F3D},213715.517254231701372,13794802003.000000000000000
"428",3601-MSWLF-,Gaston County MSWLF (Cramerton),Noles Drive,Mount Holly,NC,"28120",Gaston,MSW,LF,InactiveClosed,,Closed,35.314540999999998,-81.039471000000006,"100",100.000000000000000,151477.359375000000000,GAST,232694.484375000000000,496971.956611000001431,MRO,{61D73CAC-3E1E-4566-80B2-20EFB94914D6},185718.367227167880628,10136165636.000000000000000
"429",3602-MSWLF-,Gaston County MSWLF (Biggerstaff),Biggerstaff Landfill Road,Bessemer City,NC,"28016",Gaston,MSW,LF,InactiveClosed,,Closed,35.335478000000002,-81.290412000000003,"100",100.000000000000000,151477.359375000000000,GAST,232694.484375000000000,496971.956611000001431,MRO,{61D73CAC-3E1E-4566-80B2-20EFB94914D6},185718.367227167880628,10136165636.000000000000000
"430",3603-MSWLF-,Gaston County (Auten Road),Monterey Park Drive,Gastonia,NC,"28054",Gaston,MSW,LF,InactiveClosed,,Closed,35.304336999999997,-81.137493000000006,"100",100.000000000000000,151477.359375000000000,GAST,232694.484375000000000,496971.956611000001431,MRO,{61D73CAC-3E1E-4566-80B2-20EFB94914D6},185718.367227167880628,10136165636.000000000000000
"431",3605-INDUS-1978,FMC Corporation Lithium Div,NC Hwy 161,Bessemer City,NC,"28106",Gaston,Indus,LF,InactiveClosed,,Closed,35.275131000000002,-81.304698999999999,"100",100.000000000000000,151477.359375000000000,GAST,232694.484375000000000,496971.956611000001431,MRO,{61D73CAC-3E1E-4566-80B2-20EFB94914D6},185718.367227167880628,10136165636.000000000000000
"432",3606-CDLF-1995,Gaston County C&D Landfill,3155 Philadelphia Church Road,Dallas,NC,"28034",Gaston,CD,LF,Active,2016/08/24,Open,35.387951000000001,-81.173700999999994,"100",100.000000000000000,151477.359375000000000,GAST,232694.484375000000000,496971.956611000001431,MRO,{61D73CAC-3E1E-4566-80B2-20EFB94914D6},185718.367227167880628,10136165636.000000000000000
"433",3606-MSWLF-1986,Gaston County Landfill,Philadelphia Church Road (S.R. 1001),Dallas,NC,"28034",Gaston,MSW,LF,InactiveClosed,,Closed,35.385787000000001,-81.174994999999996,"100",100.000000000000000,151477.359375000000000,GAST,232694.484375000000000,496971.956611000001431,MRO,{61D73CAC-3E1E-4566-80B2-20EFB94914D6},185718.367227167880628,10136165636.000000000000000
"434",3606-MSWLF-1997,Gaston County Landfill,3155 Philadelphia Church Road,Dallas,NC,"28034",Gaston,MSW,LF,Active,2014/04/03,Open,35.383977000000002,-81.175724000000002,"100",100.000000000000000,151477.359375000000000,GAST,232694.484375000000000,496971.956611000001431,MRO,{61D73CAC-3E1E-4566-80B2-20EFB94914D6},185718.367227167880628,10136165636.000000000000000
"435",3612-INDUS-2008,Duke Energy-Allen Steam Station RAB Ash Landfill,253 Plant Allen Road,Belmont,NC,"28012",Gaston,Indus,LF,Active,2014/12/09,Open,35.183000999999997,-81.008000999999993,"100",100.000000000000000,151477.359375000000000,GAST,232694.484375000000000,496971.956611000001431,MRO,{61D73CAC-3E1E-4566-80B2-20EFB94914D6},185718.367227167880628,10136165636.000000000000000
"436",36A-LCID-,James Lewis Demo Landfill,123 Tate Street,Mount Holly,NC,"28120",Gaston,LCID,LF,InactiveClosed,1998/01/01,Open,35.325600999999999,-81.025803999999994,"100",100.000000000000000,151477.359375000000000,GAST,232694.484375000000000,496971.956611000001431,MRO,{61D73CAC-3E1E-4566-80B2-20EFB94914D6},185718.367227167880628,10136165636.000000000000000
